Time [mm:ss]	UTC Time [hh:mm:ss]	T [°C]   	U [%r H]	Tu Cap [°C]
53:24.2     	09:49:53.5         	-73.80   	40.2    	-74.21
53:25.2     	09:49:54.5         	--       	40.9    	-74.07
53:25.8     	09:49:55.1         	-73.78   	38.6    	-73.94
53:26.7     	09:49:56.0         	-73.63   	36.2    	-73.81
53:27.6     	09:49:56.9         	-73.46   	37.6    	-73.66
53:28.5     	09:49:57.8         	-73.32   	36.5    	-73.49
53:29.7     	09:49:59.0         	-73.18   	36.5    	-73.66
53:30.0     	09:49:59.3         	-73.18   	--      	-73.83
53:30.3     	09:49:59.6         	-73.32   	38.4    	-73.20
53:31.2     	09:50:00.5         	-73.09   	39.7    	-73.04
53:32.1     	09:50:01.4         	-72.96   	39.8    	-72.91
53:33.0     	09:50:02.3         	-72.75   	39.4    	-72.67
53:33.9     	09:50:03.2         	-72.59   	39.7    	-72.52
53:34.7     	09:50:04.0         	-72.49   	40.0    	-72.37
53:35.7     	09:50:05.0         	-72.56   	40.5    	-72.25
53:36.6     	09:50:05.9         	-72.70   	43.0    	-72.14
53:37.4     	09:50:06.7         	-72.81   	43.9    	-72.04
53:38.3     	09:50:07.6         	-72.91   	43.9    	-71.98
53:39.2     	09:50:08.5         	-73.17   	43.9    	-72.02
53:40.1     	09:50:09.4         	-73.21   	44.0    	-71.98
53:41.0     	09:50:10.3         	-73.13   	43.9    	-71.97
53:41.9     	09:50:11.2         	-72.95   	44.0    	-71.92
53:43.0     	09:50:12.3         	-72.78   	44.0    	-71.83
53:43.7     	09:50:13.0         	-72.63   	44.0    	-71.75
53:44.6     	09:50:13.9         	-72.42   	43.9    	-71.64
53:45.5     	09:50:14.8         	-72.19   	43.6    	-71.55
53:46.4     	09:50:15.7         	-71.99   	42.9    	-71.42
53:47.3     	09:50:16.6         	-71.78   	42.4    	-71.29
53:48.2     	09:50:17.5         	-71.58   	41.9    	-71.16
53:49.1     	09:50:18.4         	-71.43   	41.7    	-71.05
53:50.0     	09:50:19.3         	-71.33   	41.9    	-70.93
53:50.9     	09:50:20.2         	-71.27   	42.2    	-70.83
53:51.8     	09:50:21.1         	-71.36   	43.3    	-70.75
53:52.7     	09:50:22.0         	-71.39   	43.8    	-70.69
53:53.5     	09:50:22.8         	-71.47   	43.8    	-70.63
53:54.5     	09:50:23.8         	-71.46   	43.8    	-70.57
53:55.4     	09:50:24.7         	-71.47   	43.8    	-70.52
53:56.2     	09:50:25.5         	-71.42   	43.8    	-70.47
53:57.1     	09:50:26.5         	-71.32   	43.8    	-70.41
53:58.2     	09:50:27.6         	-71.22   	43.8    	-70.36
53:58.9     	09:50:28.3         	-71.01   	43.8    	-70.28
53:59.8     	09:50:29.2         	-70.82   	43.4    	-70.18
54:00.7     	09:50:30.1         	-70.60   	42.7    	-70.09
54:01.6     	09:50:31.0         	-70.39   	41.8    	-70.01
54:02.5     	09:50:31.9         	-70.19   	41.1    	-69.90
54:03.4     	09:50:32.8         	-70.04   	40.9    	-69.79
54:04.3     	09:50:33.7         	-69.84   	40.4    	-69.67
54:05.2     	09:50:34.6         	-69.62   	39.9    	-69.53
54:06.1     	09:50:35.5         	-69.40   	39.3    	-69.38
54:07.0     	09:50:36.4         	-69.19   	38.8    	-69.53
54:07.9     	09:50:37.3         	-68.98   	37.1    	-69.07
54:08.8     	09:50:38.2         	-68.77   	38.4    	-68.89
54:09.7     	09:50:39.1         	-68.58   	38.3    	-68.73
54:10.6     	09:50:40.0         	-68.34   	38.2    	-68.55
54:11.5     	09:50:40.9         	-68.12   	37.7    	-68.35
54:12.4     	09:50:41.8         	-67.96   	37.9    	-68.16
54:13.2     	09:50:42.6         	-67.78   	38.0    	-67.98
54:14.2     	09:50:43.6         	-67.61   	38.0    	-67.80
54:15.1     	09:50:44.5         	-67.43   	38.0    	-67.62
54:15.9     	09:50:45.3         	-66.93   	36.8    	-67.45
54:16.9     	09:50:46.2         	-67.13   	38.3    	-67.28
54:17.8     	09:50:47.1         	-66.66   	36.8    	-67.11
54:18.7     	09:50:48.0         	-66.82   	38.4    	-66.95
54:19.6     	09:50:48.9         	-66.64   	38.3    	-66.78
54:20.5     	09:50:49.8         	-66.44   	38.1    	-66.61
54:21.4     	09:50:50.7         	-66.26   	38.1    	-66.42
54:22.3     	09:50:51.6         	-66.07   	38.1    	-66.24
54:23.2     	09:50:52.5         	-65.87   	38.0    	-66.07
54:24.1     	09:50:53.4         	-65.68   	37.9    	-65.89
54:25.0     	09:50:54.3         	-65.49   	37.9    	-65.73
54:25.9     	09:50:55.2         	-65.30   	37.7    	-65.56
54:26.8     	09:50:56.1         	-65.13   	37.7    	-65.39
54:27.7     	09:50:57.0         	-64.96   	37.7    	-65.20
54:28.6     	09:50:57.9         	-64.77   	37.7    	-65.02
54:29.5     	09:50:58.8         	-64.29   	36.9    	-64.85
54:30.4     	09:50:59.7         	-64.11   	36.9    	-64.69
54:31.3     	09:51:00.6         	-63.96   	36.9    	-64.51
54:32.1     	09:51:01.4         	-64.08   	37.7    	-64.33
54:33.1     	09:51:02.4         	-63.87   	37.6    	-64.15
54:34.0     	09:51:03.3         	-63.65   	37.4    	-63.97
54:34.8     	09:51:04.1         	-63.44   	37.2    	-64.15
54:35.7     	09:51:05.0         	-62.93   	37.0    	-63.63
54:36.7     	09:51:06.0         	-63.05   	36.6    	-63.44
54:37.5     	09:51:06.8         	-62.86   	37.0    	-63.26
54:38.4     	09:51:07.7         	-62.63   	37.0    	-63.06
54:39.3     	09:51:08.6         	-62.42   	37.0    	-62.84
54:40.2     	09:51:09.5         	-62.21   	37.0    	-62.64
54:41.1     	09:51:10.4         	-62.00   	37.0    	-62.46
54:42.0     	09:51:11.3         	-61.81   	37.0    	-62.26
54:42.9     	09:51:12.2         	-61.62   	37.0    	-62.05
54:43.8     	09:51:13.1         	-61.42   	37.0    	-61.86
54:44.7     	09:51:14.0         	-61.20   	37.0    	-61.68
54:45.6     	09:51:14.9         	-61.00   	37.0    	-61.49
54:46.5     	09:51:15.8         	-60.78   	37.0    	-61.28
54:47.4     	09:51:16.7         	-60.57   	37.0    	-61.10
54:48.2     	09:51:17.5         	-60.36   	37.1    	-60.87
54:49.2     	09:51:18.5         	-60.17   	37.1    	-60.65
54:50.1     	09:51:19.4         	-59.95   	37.1    	-60.45
54:51.2     	09:51:20.5         	-59.74   	37.6    	-60.25
54:51.9     	09:51:21.2         	-59.55   	37.1    	-60.07
54:52.8     	09:51:22.1         	-59.37   	37.1    	-59.87
54:53.6     	09:51:22.9         	-59.16   	37.2    	-59.68
54:54.5     	09:51:23.8         	-58.99   	37.2    	-59.48
54:55.5     	09:51:24.8         	-58.80   	37.2    	-59.29
54:56.3     	09:51:25.6         	-58.61   	37.2    	-59.10
54:57.2     	09:51:26.5         	-58.41   	37.2    	-58.88
54:58.1     	09:51:27.4         	-58.20   	37.2    	-58.66
54:59.0     	09:51:28.3         	-57.99   	37.2    	-58.46
54:59.9     	09:51:29.2         	-57.76   	37.2    	-58.27
55:00.8     	09:51:30.1         	-57.52   	37.3    	-58.07
55:01.7     	09:51:31.0         	-57.28   	37.3    	-57.88
55:02.6     	09:51:31.9         	-57.04   	37.3    	-57.65
55:03.5     	09:51:32.8         	-56.82   	37.3    	-57.44
55:04.4     	09:51:33.7         	-56.61   	37.3    	-57.25
55:05.3     	09:51:34.6         	-56.38   	37.3    	-57.03
55:06.2     	09:51:35.5         	-56.16   	37.4    	-56.79
55:07.1     	09:51:36.4         	-55.91   	37.3    	-56.56
55:08.0     	09:51:37.3         	-55.72   	37.4    	-56.33
55:08.9     	09:51:38.2         	-55.48   	37.4    	-56.10
55:09.7     	09:51:39.0         	-55.24   	37.3    	-55.88
55:10.9     	09:51:40.2         	-54.99   	37.3    	-55.64
55:11.6     	09:51:40.9         	-54.78   	37.5    	-55.42
55:12.4     	09:51:41.7         	-54.57   	37.5    	-55.20
55:13.3     	09:51:42.6         	-54.35   	37.5    	-55.00
55:14.2     	09:51:43.5         	-54.13   	37.5    	-54.81
55:15.1     	09:51:44.4         	-53.92   	37.5    	-54.62
55:16.0     	09:51:45.3         	-53.73   	37.6    	-54.41
55:16.9     	09:51:46.2         	-53.25   	37.6    	-54.22
55:17.8     	09:51:47.1         	-53.36   	37.6    	-54.41
55:18.7     	09:51:48.0         	-53.23   	37.7    	-53.84
55:19.6     	09:51:48.9         	-53.08   	37.6    	-53.65
55:20.5     	09:51:49.8         	-52.94   	37.7    	-53.42
55:21.4     	09:51:50.7         	-52.78   	37.7    	-53.22
55:22.3     	09:51:51.6         	-52.60   	37.7    	-53.05
55:23.2     	09:51:52.5         	-52.44   	37.7    	-52.87
55:24.1     	09:51:53.4         	-52.30   	37.8    	-52.70
55:25.0     	09:51:54.3         	-52.18   	38.1    	-52.53
55:25.8     	09:51:55.1         	-52.02   	38.1    	-52.35
55:26.8     	09:51:56.1         	-51.88   	38.3    	-52.17
55:27.7     	09:51:57.0         	-51.69   	38.3    	-52.01
55:28.5     	09:51:57.8         	-51.53   	38.3    	-51.83
55:29.4     	09:51:58.7         	-51.36   	38.5    	-51.65
55:30.4     	09:51:59.7         	-51.18   	38.4    	-51.47
55:31.2     	09:52:00.5         	-50.99   	38.4    	-51.31
55:32.1     	09:52:01.4         	-50.83   	38.4    	-51.13
55:33.0     	09:52:02.3         	-50.65   	38.4    	-50.97
55:33.9     	09:52:03.2         	-50.47   	38.3    	-50.81
55:34.8     	09:52:04.1         	-50.30   	38.3    	-50.66
55:35.7     	09:52:05.0         	-50.17   	38.4    	-50.50
55:36.6     	09:52:05.9         	-50.00   	38.5    	-50.34
55:37.5     	09:52:06.8         	-49.86   	38.5    	-50.18
55:38.4     	09:52:07.7         	-49.68   	38.5    	-50.02
55:39.3     	09:52:08.6         	-49.50   	38.4    	-49.84
55:40.2     	09:52:09.5         	-49.28   	38.2    	-49.65
55:41.1     	09:52:10.4         	-49.11   	38.3    	-49.48
55:42.0     	09:52:11.3         	-48.94   	38.4    	-49.29
55:42.9     	09:52:12.3         	-48.78   	38.5    	-49.12
55:43.8     	09:52:13.2         	-48.60   	38.4    	-48.96
55:44.6     	09:52:14.0         	-48.45   	38.5    	-48.79
55:45.6     	09:52:15.0         	-48.28   	38.5    	-48.64
55:46.5     	09:52:15.9         	-48.12   	38.5    	-48.47
55:47.3     	09:52:16.7         	-47.97   	38.6    	-48.30
55:48.2     	09:52:17.6         	-47.83   	38.8    	-48.12
55:49.2     	09:52:18.6         	-47.67   	38.9    	-47.95
55:50.0     	09:52:19.4         	-47.49   	38.8    	-47.78
55:51.2     	09:52:20.6         	-47.32   	39.6    	-47.62
55:51.8     	09:52:21.2         	-47.15   	38.8    	-47.47
55:52.7     	09:52:22.1         	-46.96   	38.7    	-47.30
55:53.6     	09:52:23.0         	-46.81   	38.8    	-47.15
55:54.5     	09:52:23.9         	-46.69   	38.9    	-47.00
55:55.4     	09:52:24.8         	-46.53   	38.9    	-46.84
55:56.3     	09:52:25.7         	-46.37   	39.0    	-46.67
55:57.2     	09:52:26.6         	-46.21   	39.0    	-46.50
55:57.9     	09:52:27.3         	-46.05   	39.0    	-46.50
55:58.1     	09:52:27.5         	-46.04   	38.4    	-46.36
55:59.0     	09:52:28.4         	-45.88   	39.0    	-46.19
55:59.9     	09:52:29.3         	-45.71   	38.9    	-46.03
56:00.8     	09:52:30.2         	-45.53   	38.9    	-45.87
56:01.7     	09:52:31.1         	-45.35   	38.8    	-45.70
56:02.6     	09:52:32.0         	-45.15   	38.7    	-45.53
56:03.5     	09:52:32.9         	-44.95   	38.6    	-45.36
56:04.4     	09:52:33.8         	-44.76   	38.6    	-45.18
56:05.3     	09:52:34.7         	-44.61   	38.7    	-45.00
56:06.1     	09:52:35.5         	-44.45   	38.8    	-44.83
56:07.1     	09:52:36.5         	-44.32   	39.0    	-44.64
56:08.0     	09:52:37.4         	-44.14   	39.1    	-44.41
56:08.8     	09:52:38.2         	-43.92   	39.2    	-44.22
56:09.7     	09:52:39.1         	-43.74   	39.2    	-44.05
56:10.6     	09:52:40.0         	-43.59   	39.3    	-43.87
56:11.5     	09:52:40.9         	-43.40   	39.3    	-43.66
56:12.4     	09:52:41.8         	-43.22   	39.4    	-43.50
56:13.3     	09:52:42.7         	-43.07   	39.5    	-43.34
56:14.2     	09:52:43.6         	-42.93   	39.6    	-43.11
56:15.1     	09:52:44.5         	-42.71   	39.7    	-42.94
56:16.0     	09:52:45.4         	-42.54   	39.7    	-42.79
56:16.9     	09:52:46.3         	-42.38   	39.7    	-42.64
56:17.8     	09:52:47.2         	-42.24   	39.7    	-42.47
56:18.7     	09:52:48.1         	-42.07   	39.7    	-42.28
56:19.6     	09:52:49.0         	-41.89   	39.8    	-42.12
56:20.5     	09:52:49.9         	-41.74   	39.9    	-41.97
56:21.4     	09:52:50.8         	-41.60   	40.0    	-41.77
56:22.3     	09:52:51.7         	-41.39   	39.9    	-41.60
56:23.2     	09:52:52.6         	-41.21   	39.9    	-41.45
56:24.1     	09:52:53.5         	-41.06   	39.9    	-41.29
