Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
53:33.2     	09:50:02.5         	16051.3  	-30.3               	5.3                   	76.31544     	10.0764     	15543.8
53:34.1     	09:50:03.4         	16021.8  	-29.9               	4.6                   	76.31548     	10.0764     	15514.1
53:36.1     	09:50:05.4         	---      	---                 	---                   	---          	---         	---
53:37.2     	09:50:06.5         	15934.7  	-29.3               	4.4                   	76.31559     	10.0764     	15425.9
53:39.2     	09:50:08.5         	15878.0  	-28.7               	2.5                   	76.31565     	10.0763     	15368.6
53:41.3     	09:50:10.6         	---      	---                 	---                   	---          	---         	---
53:42.1     	09:50:11.4         	---      	---                 	---                   	---          	---         	---
53:43.0     	09:50:12.3         	15766.9  	-29.3               	3.6                   	76.31577     	10.0764     	15253.4
53:46.2     	09:50:15.5         	15685.5  	-28.9               	0.7                   	76.31578     	10.0764     	15167.9
53:47.1     	09:50:16.4         	15657.7  	-28.8               	2.5                   	76.31580     	10.0764     	15139.2
53:48.2     	09:50:17.5         	15629.8  	-29.0               	3.3                   	76.31583     	10.0764     	15110.4
53:49.1     	09:50:18.4         	15601.9  	-29.1               	4.4                   	76.31586     	10.0765     	15081.6
53:50.2     	09:50:19.5         	15573.5  	-29.1               	5.1                   	76.31590     	10.0765     	15052.2
53:51.1     	09:50:20.4         	15546.1  	-28.7               	0.0                   	76.31595     	10.0765     	15023.4
53:52.2     	09:50:21.5         	15518.7  	-28.9               	5.8                   	76.31599     	10.0765     	14994.3
53:53.1     	09:50:22.4         	15490.8  	-29.2               	5.7                   	76.31602     	10.0766     	14964.7
53:54.2     	09:50:23.5         	15463.4  	-29.3               	5.8                   	76.31606     	10.0766     	14935.4
53:55.1     	09:50:24.4         	15436.2  	-29.4               	6.2                   	76.31608     	10.0767     	14906.1
53:56.0     	09:50:25.3         	15409.4  	-29.1               	5.6                   	76.31611     	10.0767     	14877.4
53:57.1     	09:50:26.5         	15383.1  	-28.8               	5.9                   	76.31612     	10.0768     	14848.8
54:00.1     	09:50:29.5         	15306.4  	-27.8               	4.4                   	76.31615     	10.0769     	14766.2
